1,1,1,1,1,24000
1,1,1,0,0,0
1,1,1,1,0,20000
1,1,1,0,1,20000
1,1,0,1,1,20000
1,1,0,0,0,0
1,1,0,1,0,20000
1,1,0,0,1,0
1,2,1,1,1,24000
1,2,1,0,0,0
1,2,1,1,0,20000
1,2,1,0,1,40000
1,2,0,1,1,20000
1,2,0,0,0,8000
1,2,0,1,0,20000
1,2,0,0,1,0
1,3,1,1,1,32000
1,3,1,0,0,16000
1,3,1,1,0,20000
1,3,1,0,1,40000
1,3,0,1,1,20000
1,3,0,0,0,16000
1,3,0,1,0,20000
1,3,0,0,1,0
2,1,1,1,1,20000
2,1,1,0,0,40000
2,1,1,1,0,20000
2,1,1,0,1,40000
2,1,0,1,1,20000
2,1,0,0,0,40000
2,1,0,1,0,20000
2,1,0,0,1,40000
2,2,1,1,1,20000
2,2,1,0,0,32000
2,2,1,1,0,20000
2,2,1,0,1,40000
2,2,0,1,1,20000
2,2,0,0,0,40000
2,2,0,1,0,20000
2,2,0,0,1,40000
2,3,1,1,1,20000
2,3,1,0,0,40000
2,3,1,1,0,20000
2,3,1,0,1,40000
2,3,0,1,1,20000
2,3,0,0,0,40000
2,3,0,1,0,20000
2,3,0,0,1,40000
3,1,1,1,1,20000
3,1,1,0,0,40000
3,1,1,1,0,20000
3,1,1,0,1,40000
3,1,0,1,1,20000
3,1,0,0,0,40000
3,1,0,1,0,20000
3,1,0,0,1,40000
3,2,1,1,1,20000
3,2,1,0,0,40000
3,2,1,1,0,20000
3,2,1,0,1,40000
3,2,0,1,1,20000
3,2,0,0,0,40000
3,2,0,1,0,20000
3,2,0,0,1,40000
3,3,1,1,1,20000
3,3,1,0,0,32000
3,3,1,1,0,20000
3,3,1,0,1,32000
3,3,0,1,1,20000
3,3,0,0,0,40000
3,3,0,1,0,20000
3,3,0,0,1,40000
